RAG Incremental Load: 26 clean chunks, 0 new chunks. Dirty: 0, Deleted: 0
2026-05-15 07:57:06,029 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_ab hr=96 spo2=99 temp=22.73 steps=220 bp=139/77 sos=False
2026-05-15 07:57:06,145 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:06,857 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=99 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:06,968 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
INFO:     127.0.0.1:12576 - "GET /healthz HTTP/1.1" 200 OK
2026-05-15 07:57:07,546 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=0 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:07,657 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:08,557 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_b hr=0 spo2=0 temp=0.0 steps=None bp=139/77 sos=False
2026-05-15 07:57:08,672 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:08,869 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_b hr=0 spo2=0 temp=0.0 steps=None bp=123/82 sos=False
2026-05-15 07:57:08,978 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:09,880 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=96 spo2=99 temp=0.0 steps=220 bp=None sos=False
2026-05-15 07:57:09,998 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:10,563 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=0 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:10,687 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:10,882 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=99 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:10,997 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:11,572 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=96 spo2=0 temp=0.0 steps=184 bp=None sos=False
2026-05-15 07:57:11,694 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:12,055 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_ab hr=96 spo2=0 temp=22.78 steps=184 bp=0/0 sos=False
2026-05-15 07:57:12,180 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:13,579 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=0 spo2=0 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:13,679 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:13,894 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=99 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:14,074 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=0 spo2=98 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:14,122 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:14,235 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:14,590 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_b hr=0 spo2=0 temp=0.0 steps=None bp=0/0 sos=False
2026-05-15 07:57:14,706 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:15,601 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=0 spo2=0 temp=0.0 steps=184 bp=None sos=False
2026-05-15 07:57:15,709 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:16,905 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=97 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:17,012 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:17,913 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=96 spo2=97 temp=0.0 steps=220 bp=None sos=False
2026-05-15 07:57:18,023 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:18,921 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_b hr=0 spo2=0 temp=0.0 steps=None bp=123/82 sos=False
2026-05-15 07:57:19,035 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:19,629 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=0 spo2=0 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:19,740 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:20,085 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=89 spo2=98 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:57:20,212 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:57:20,928 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_b hr=0 spo2=0 temp=0.0 steps=None bp=123/82 sos=False
2026-05-15 07:57:21,047 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
